Aberdeen City-South Dakota,"(45.4646985, -98.4864829)"
Academy Inland Empire,"(34.1377118, -117.1962626)"
Adams Co (Quincy) SD #172,"(39.9350585, -91.40761189999999)"
Adams Co-Mississippi,"(31.5305353, -91.28910359999999)"
Addison Town-Texas,"(32.96179, -96.82916850000001)"
Akron City-Ohio,"(41.0814447, -81.51900529999999)"
Alabaster City BOE,"(33.2257308, -86.86458379999999)"
Alabaster City-Alabama,"(33.2442813, -86.8163773)"
Alameda Co (Newark) USD,"(37.5345777, -122.0239759)"
Alameda Improvement Community,"(33.2439851, -111.8385069)"
Alamogordo City-New Mexico,"(32.8995325, -105.960265)"
AlamosaCo(Alamosa)SD#RE-11J,"(37.474252, -105.8882922)"
Alaska,"(64.2008413, -149.4936733)"
Alaska Housing Finance Corp,"(61.20455740000001, -149.8585724)"
Alaska Student Loan Corp,"(64.2008413, -149.4936733)"
Albany City SD,"(44.6365107, -123.1059282)"
Albany Co (Watervliet) SD,"(42.7296769, -73.70866000000001)"
Albany Co-New York,"(42.57567969999999, -73.93598209999999)"
Albany-Dougherty Inner City Au,"(31.5785074, -84.15574099999999)"
Albertville City-Alabama,"(34.2675937, -86.20886689999999)"
Alcoa City-Tennessee,"(35.7895271, -83.9737935)"
Alexandria City-Louisiana,"(31.3112936, -92.4451371)"
Alexandria ISD #206,"(46.0433333, -95.28833329999999)"
Algoma City-Wisconsin,"(44.6088884, -87.4325891)"
Allegan Co-Michigan,"(42.5938744, -85.9084434)"
AlleghenyCo(WestAllegheny)SD,"(40.4468173, -80.2380563)"
Almont Community Schools,"(42.903639, -83.01465259999999)"
Anderson Co (Palestine) ISD,"(31.821449, -95.481729)"
Anderson Comm School Corp,"(39.1958333, -85.2055555)"
Andover Minnesota,"(45.2332984, -93.29134049999999)"
"Ann Arbor City, Michigan","(42.2808256, -83.7430378)"
"Anoka County, Minnesota","(45.3292832, -93.2197005)"
Antigo-Wisconsin,"(45.140245, -89.15233529999999)"
"Appleton, Wisconsin","(44.2619309, -88.41538469999999)"
Arizona Board of Regents,"(33.4701767, -112.0752368)"
