gov_id,gov_st,gov_co,name,fips_st,fips_co_02,fips_co_07
01000,01,000,ALABAMA,01,000,000
01001,01,001,AUTAUGA,01,001,001
01002,01,002,BALDWIN,01,003,003
01003,01,003,BARBOUR,01,005,005
01004,01,004,BIBB,01,007,007
01005,01,005,BLOUNT,01,009,009
01006,01,006,BULLOCK,01,011,011
01007,01,007,BUTLER,01,013,013
01008,01,008,CALHOUN,01,015,015
01009,01,009,CHAMBERS,01,017,017
01010,01,010,CHEROKEE,01,019,019
01011,01,011,CHILTON,01,021,021
01012,01,012,CHOCTAW,01,023,023
01013,01,013,CLARKE,01,025,025
01014,01,014,CLAY,01,027,027
01015,01,015,CLEBURNE,01,029,029
01016,01,016,COFFEE,01,031,031
01017,01,017,COLBERT,01,033,033
01018,01,018,CONECUH,01,035,035
01019,01,019,COOSA,01,037,037
01020,01,020,COVINGTON,01,039,039
01021,01,021,CRENSHAW,01,041,041
01022,01,022,CULLMAN,01,043,043
01023,01,023,DALE,01,045,045
01024,01,024,DALLAS,01,047,047
01025,01,025,DE KALB,01,049,049
01026,01,026,ELMORE,01,051,051
01027,01,027,ESCAMBIA,01,053,053
01028,01,028,ETOWAH,01,055,055
01029,01,029,FAYETTE,01,057,057
01030,01,030,FRANKLIN,01,059,059
01031,01,031,GENEVA,01,061,061
01032,01,032,GREENE,01,063,063
01033,01,033,HALE,01,065,065
01034,01,034,HENRY,01,067,067
01035,01,035,HOUSTON,01,069,069
01036,01,036,JACKSON,01,071,071
01037,01,037,JEFFERSON,01,073,073
01038,01,038,LAMAR,01,075,075
01039,01,039,LAUDERDALE,01,077,077
01040,01,040,LAWRENCE,01,079,079
01041,01,041,LEE,01,081,081
01042,01,042,LIMESTONE,01,083,083
01043,01,043,LOWNDES,01,085,085
01044,01,044,MACON,01,087,087
01045,01,045,MADISON,01,089,089
01046,01,046,MARENGO,01,091,091
01047,01,047,MARION,01,093,093
01048,01,048,MARSHALL,01,095,095
01049,01,049,MOBILE,01,097,097
01050,01,050,MONROE,01,099,099
01051,01,051,MONTGOMERY,01,101,101
01052,01,052,MORGAN,01,103,103
01053,01,053,PERRY,01,105,105
01054,01,054,PICKENS,01,107,107
01055,01,055,PIKE,01,109,109
01056,01,056,RANDOLPH,01,111,111
01057,01,057,RUSSELL,01,113,113
01058,01,058,ST CLAIR,01,115,115
01059,01,059,SHELBY,01,117,117
01060,01,060,SUMTER,01,119,119
01061,01,061,TALLADEGA,01,121,121
01062,01,062,TALLAPOOSA,01,123,123
01063,01,063,TUSCALOOSA,01,125,125
01064,01,064,WALKER,01,127,127
01065,01,065,WASHINGTON,01,129,129
01066,01,066,WILCOX,01,131,131
01067,01,067,WINSTON,01,133,133
02000,02,000,ALASKA,02,000,000
02001,02,001,ALEUTIANS WEST CENSUS AREA,02,016,016
02002,02,002,ANCHORAGE CITY AND BOROUGH,02,020,020
02003,02,003,BETHEL CENSUS AREA,02,050,050
02004,02,004,BRISTOL BAY BOROUGH,02,060,060
02005,02,005,DILLINGHAM CENSUS AREA,02,070,070
02006,02,006,FAIRBANKS NORTH STAR BOROUGH,02,090,090
02007,02,007,HAINES BOROUGH,02,100,100
02008,02,008,JUNEAU CITY AND BOROUGH,02,110,110
02009,02,009,KANAI PENINSULA BOROUGH,02,122,122
