1,mo_pulaski
ALBANY,or_linn
ALLEN,in_allen
AMITE,la_tangipahoa parish
ATTALA,ms_attala
Abbeville,sc_abbeville
Acadia,la_lafourche parish
Accomack,va_accomack
Ada,id_ada
Ada and Canyon,id_canyon
Ada/Boise,id_ada
Ada/Canyon,id_canyon
Adair,ia_adair
Adaire,ia_adair
Adam,center district_hasharon
Adams,oh_adams
Adams/Arapahoe,co_arapahoe
Adams/Araphoe,co_arapahoe
Adams/Boulder/Jefferson,mt_jefferson
Adams/Broomfield/Weld,co_broomfield
Adams/Clark/Jackson/Juneau,wi_dodge
Adams/Columbia/Dane/Iowa/Rock,wi_rock
Adams/Denver,co_denver
Adams/Franklin,wa_franklin
Adams/Hancock,il_hancock
Adams/Highland,oh_highland
Adams/Jefferson,ny_jefferson
Adams/Larimer/Logan/Morgan,co_morgan
Adams/Lincoln,pa_adams
Adams/Marquette/Waushara,wi_waushara
Adams/Morgan/Weld Cos,co_el paso
Adams/Pike/Hancock/Calhoun/,il_richland
Adams/Summit,oh_summit
Adams/Union,nc_robeson
Adams/Weld,co_weld
Aiken,sc_aiken
Aitken,mn_aitkin
Aitkin,mn_aitkin
Aitkin/St. Louis,mn_aitkin
Akron/Summit,oh_summit
Alachua,fl_alachua
Alamance,nc_alamance
Alamance/Guilford,nc_guilford
Alameda,ca_alameda
Alameda/Contra Costa,ca_alameda
Alameda/Placer,ca_fresno
Alamosa,co_alamosa
Albany,ny_albany
Albany/Schenectady,ny_albany
Albany/Schoharie/Schenectady,ny_schenectady
Albemarle,va_albemarle
Albermarle,va_albemarle
Albia,ia_monroe
Albuquerque,nm_bernalillo
Alcona,mi_alcona
Alcona/Iosco,mi_ogemaw
Alcorn,ms_claiborne
Alexander,nc_buncombe
Alexander/Pulaski,il_pulaski
Alexandria,la_rapides parish
Alfalfa,ok_caddo
Alfallfa,ok_caddo
Alger,mi_arenac
Alger/Schoolcraft,mi_schoolcraft
Allamakee,ia_allamakee
Allegan,mi_allegan
Allegan/Kalamazoo,mi_allegan
Allegany,md_allegany
Allegany/Cataraugus/Erie/,ny_cattaraugus
Allegany/Steuben,ny_steuben
Allegany/Wyoming,ny_wyoming
Allegeny,pa_allegheny
Alleghany,nc_alleghany
Allegheny,va_alleghany
Allegheny/Columbia,pa_cambria
Alleghney,pa_allegheny
Allen,oh_allen
Allen Parish,la_allen parish
Allendale,sc_allendale
Almeda,tx_harris
Alpena,mi_alpena
Amador,ca_amador
Amelia,va_amelia
Americus/Sumter,ga_sumter
Amherst,va_amherst
Amherst/Tonawanda/Erie,ny_niagara
Amite/Wilkinson,ms_amite
Anapahoe,co_cheyenne
Anchorage,ak_anchorage
Anchorage Borough,ak_anchorage
Andersen,sc_anderson
Anderson,tn_franklin
Anderson/Campbell,tn_coffee
Anderson/Greenville,sc_greenville
Anderson/Henderson,tx_henderson
Anderson/Roane,tn_roane
Andrew,mo_andrew
Andrew/Buchanan,mo_buchanan
Andrews,tx_andrews
Androscoggin,me_androscoggin
Androscoggin/Cumberland,me_androscoggin
Angelina,tx_angelina
Ann Arbor,mi_washtenaw
Anne Arundel,md_anne arundel
Anoka,mn_anoka
Anoka/Carver/Dakota/Hennepin,mn_hennepin
Anoka/Dakota/Washington,mn_washington
Anoka/Isanti,mn_anoka
Anoka/Ramsey,mn_anoka
Anson,nc_anson
Antelope,ne_antelope
Antrim,mi_antrim
Antrim/Grand Traverse/Kalkaska,mi_kalkaska
Antrim/Kalkaska,mi_antrim
Apache,az_cochise
Appamattox,va_appomattox
Appanoose,ia_appanoose
Appanoose/Wayne,ia_wayne
Appling,ga_columbia
Appomattox,va_appomattox
Aransas,tx_aransas
Aransas/Bee/Brooks/Duval,tx_duval
Arapahoe,co_cheyenne
Arapahoe/Adams,co_arapahoe
Arapahoe/Denver,co_denver
Arapahoe/Denver/Douglas,co_arapahoe
Arapahoe/Douglas,co_douglas
Arapahoe/Douglas/Jefferson,co_douglas
Arapaloe,co_cheyenne
Araphoe,co_cheyenne
Araphoe/Adams,co_arapahoe
Arcadia,ca_los angeles
Archer,tx_archer
Archer/Wichita,tx_wichita
Archuleta,co_archuleta
Archuleta/Hinsdale/Mineral,co_mineral
Arenac,mi_arenac
Arlington,va_arlington
Armstrong,pa_butler
Armstrong/Butler,pa_butler
Armstrong/Indiana,pa_indiana
Armstrong/Westmoreland,pa_westmoreland
Aroostook,me_aroostook
Arrowbear,ca_san bernardino
Arthur,ne_arthur
Ascension,la_ascension parish
Ascension Parish,la_ascension parish
Ash,nc_brunswick
Ashe,nc_ashe
Ashland,oh_ashland
Ashland/Bayfield,wi_ashland
Ashley,ar_ashley
Ashtabula,oh_ashtabula
Ashtabular,oh_ashtabula
Asotin,wa_asotin
Aspen/Pitkin,co_pitkin
Assumption,la_assumption parish
Atascosa,tx_bexar
Atascosa/Bexar/Comal/Guadalupe,tx_guadalupe
Atascosa/Medina,tx_atascosa
Atchinson,mo_atchison
Atchison,mo_atchison
Athens,oh_athens
Athens-Clarke,ga_clarke
Athens/Clark,ga_clarke
Athens/Clarke,ga_clarke
Atkinson,ga_brantley
Atkinson/Coffee,ga_atkinson
Atlanta,ga_fulton
Atlanta/Fulton,ga_fulton
Atlantic,nj_atlantic
Atoka,ok_atoka
Attala,ms_attala
Attica,mi_lapeer
Au Sable/Iosco,mi_iosco
Audrain,mo_audrain
Audubon,ia_audubon
Augaize,oh_auglaize
Auglaize,oh_auglaize
Augusta,va_augusta
Augusta/Richmond,ga_richmond
Aurora,ne_hamilton
Aurora/Brule/Buffalo/Jerauld,sd_jerauld
Aurora/Kane/Du Page,il_kane
Austin,tx_travis
Austin/Brazoria/Chambers,tx_chambers
Autauga,al_autauga
Autumn Ridge,ca_sacramento
Avery,nc_avery
Avoca/Hancock/Shelby/Tennant,ia_shelby
Avon/Washington,in_marion
Avoyelles,la_avoyelles parish
BATESBURG,sc_lexington
BAY ST LOUIS,ms_hancock
BELLEVUE,wa_king
BENTON,in_elkhart
BERGEN,nj_bergen
BOLIVAR,ms_bolivar
BOONE,in_boone
BOULDER,co_boulder
BRIDGEPORT,ca_mono
BURLINGTON,nj_burlington
BUTLER,oh_richland
Bacon,ga_bacon
Badwin,al_baldwin
Bailey,tx_fannin
Bainbridge/Decatur,ga_decatur
Baker,ga_baker
Bakersfield,ca_kern
Baldwin,al_baldwin
Ballard,ky_ballard
Bamberg,sc_bamberg
Bandera,tx_bandera
Banks,ga_banks
Banks/Jackson,ga_banks
Banner,ne_banner
Bannock,id_power
Baraga,mi_baraga
Barber,ks_crawford
Barbour,al_barbour
Barbour/ Henry,al_barbour
Barnes,nd_barnes
Barnstable,ma_barnstable
Barnwell,sc_barnwell
Barren,ky_barren
Barren/Hart,ky_hart
Barron,wi_barron
Barron/Burnett/Polk,wi_polk
Barron/Chippewa/Dunn/Rusk,wi_dunn
Barron/Chippewa/Rusk,wi_rusk
Barron/Dunn/St. Croix,wi_st croix
Barrow,ga_barrow
Barry,mi_barry
Barry/Allegan/Kent/Ionia,mi_ionia
Barry/Calhoun,mi_barry
Barry/Lawrence,il_pike
Barry/McDonald,mo_barry
Bartholomew,in_bartholomew
Barton,mo_barton
Barton/Dade/Cedar/Jasper,mo_jasper
Bartow,ga_jefferson
Bartow/Putnam,ga_putnam
Bastrop,tx_bastrop
Batavia,ny_genesee
Bates,mo_bates
Bates/Vernon,mo_bates
Bath,ky_knott
Baton,la_east baton rouge parish
Baton Rouge,la_east baton rouge parish
Baxter,ar_drew
Bay,mi_bay
Bay/Midland,mi_midland
Bay/Saginaw,mi_saginaw
Bayfield,wi_bayfield
Bayfield/Douglas,wi_douglas
Baylor,tx_baylor
Beadle,sd_beadle
Beadle/Buffalo/Hand/Hyde,sd_hyde
Beaman/Conrad/Liscomb/Union...,ia_hardin
Beattyville,ky_lee
Beauford,sc_beaufort
Beaufort,nc_carteret
Beaumont,tx_jefferson
Beauregard,la_beauregard parish
