Year,FIPS,covariates,tel
1970.0,1.0,False,True
1970.0,2.0,False,True
1970.0,4.0,False,True
1970.0,5.0,False,True
1970.0,6.0,False,True
1970.0,8.0,False,True
1970.0,9.0,False,True
1970.0,10.0,False,True
1970.0,11.0,False,True
1970.0,12.0,False,True
1970.0,13.0,False,True
1970.0,15.0,False,True
1970.0,16.0,False,True
1970.0,17.0,False,True
1970.0,18.0,False,True
1970.0,19.0,False,True
1970.0,20.0,False,True
1970.0,21.0,False,True
1970.0,22.0,False,True
1970.0,23.0,False,True
1970.0,24.0,False,True
1970.0,25.0,False,True
1970.0,26.0,False,True
1970.0,27.0,False,True
1970.0,28.0,False,True
1970.0,29.0,False,True
1970.0,30.0,False,True
1970.0,31.0,False,True
1970.0,32.0,False,True
1970.0,33.0,False,True
1970.0,34.0,False,True
1970.0,35.0,False,True
1970.0,36.0,False,True
1970.0,37.0,False,True
1970.0,38.0,False,True
1970.0,39.0,False,True
1970.0,40.0,False,True
1970.0,41.0,False,True
1970.0,42.0,False,True
1970.0,44.0,False,True
1970.0,45.0,False,True
1970.0,46.0,False,True
1970.0,47.0,False,True
1970.0,48.0,False,True
1970.0,49.0,False,True
1970.0,50.0,False,True
1970.0,51.0,False,True
1970.0,53.0,False,True
1970.0,54.0,False,True
1970.0,55.0,False,True
1970.0,56.0,False,True
1971.0,1.0,False,True
1971.0,2.0,False,True
1971.0,4.0,False,True
1971.0,5.0,False,True
1971.0,6.0,False,True
1971.0,8.0,False,True
1971.0,9.0,False,True
1971.0,10.0,False,True
1971.0,11.0,False,True
1971.0,12.0,False,True
1971.0,13.0,False,True
1971.0,15.0,False,True
1971.0,16.0,False,True
1971.0,17.0,False,True
1971.0,18.0,False,True
1971.0,19.0,False,True
1971.0,20.0,False,True
1971.0,21.0,False,True
1971.0,22.0,False,True
1971.0,23.0,False,True
1971.0,24.0,False,True
1971.0,25.0,False,True
1971.0,26.0,False,True
1971.0,27.0,False,True
1971.0,28.0,False,True
1971.0,29.0,False,True
