DATE,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1980-01-01,3900.368,405.315,2737.774,2288.738,23800.8,2908.803,3113.174,638.284,594.919,9839.835,5486.174,967.71,947.983,11434.702,5490.721,2914.018,2369.039,3664.221,4223.101,1126.86,4227.643,5746.075,9255.553,4085.017,2525.342,4921.966,788.752,1572.296,810.215,924.25,7376.33,1309.4,17566.754,5898.98,654.38,10800.65,3040.758,2641.218,11868.305,948.773,3134.502,690.851,4600.252,14338.208,1472.595,512.524,5368.334,4154.678,1951.349,4712.045,474.185
1981-01-01,3918.531,418.491,2810.107,2293.201,24285.933,2977.898,3128.836,636.893,595.975,10192.774,5568.345,978.195,962.204,11443.458,5480.435,2907.983,2384.849,3670.394,4283.303,1133.033,4261.905,5768.685,9209.287,4111.728,2539.036,4932.064,795.328,1578.515,847.655,936.621,7407.472,1332.748,17567.734,5956.653,659.505,10788.33,3096.164,2667.982,11858.567,953.013,3179.255,689.584,4627.658,14746.318,1515.471,515.594,5444.097,4235.731,1954.124,4726.343,491.712
1982-01-01,3925.266,449.606,2889.861,2294.257,24820.009,3061.564,3139.013,634.174,599.148,10471.407,5649.792,993.78,973.721,11423.412,5467.922,2888.189,2401.202,3683.445,4352.608,1136.684,4282.923,5771.222,9115.198,4131.45,2556.777,4929.451,803.986,1581.78,881.537,947.719,7430.968,1363.823,17589.738,6019.101,668.972,10757.087,3206.123,2664.922,11845.146,954.17,3207.614,690.597,4646.041,15331.415,1558.314,519.109,5492.783,4276.552,1949.604,4728.87,506.4
1983-01-01,3934.102,488.417,2968.925,2305.761,25360.026,3133.63,3162.354,632.433,605.458,10749.851,5728.25,1012.717,981.869,11408.818,5450.395,2870.543,2415.531,3694.484,4395.316,1144.772,4313.327,5799.407,9047.754,4141.456,2567.717,4943.733,814.031,1584.293,901.977,958.134,7467.785,1394.361,17686.905,6077.056,676.688,10737.632,3290.402,2653.066,11837.723,956.382,3234.066,693.008,4659.749,15751.676,1594.943,523.302,5564.657,4300.266,1945.061,4721.438,510.345
1984-01-01,3951.82,513.702,3067.135,2319.768,25844.393,3169.992,3180.014,633.382,611.565,11039.925,5834.954,1027.922,990.839,11412.132,5458.322,2858.618,2424.086,3695.453,4400.477,1155.635,4365.243,5840.773,9049.452,4157.706,2578.051,4975.278,820.905,1588.639,924.922,976.864,7515.473,1416.717,17745.684,6164.006,680.497,10737.746,3285.533,2666.588,11815.172,961.894,3271.868,697.249,4686.737,16007.086,1622.342,526.66,5643.87,4343.656,1927.697,4735.563,504.896
1985-01-01,3972.523,532.495,3183.538,2327.046,26441.109,3208.723,3201.131,634.549,618.28,11351.118,5962.661,1039.698,994.051,11399.806,5459.211,2829.684,2427.405,3694.826,4408.118,1162.936,4413.071,5880.733,9076.293,4184.302,2588.102,5000.268,822.32,1584.664,951.03,996.753,7565.528,1438.361,17791.672,6253.954,676.98,10734.926,3271.332,2672.652,11770.862,968.955,3303.209,698.402,4715.296,16272.734,1642.91,530.035,5715.153,4400.098,1906.831,4747.767,499.695
1986-01-01,3991.569,544.268,3308.262,2331.984,27102.237,3237.45,3223.74,638.269,627.559,11667.505,6084.666,1051.762,990.224,11387.257,5454.108,2791.97,2432.619,3687.809,4406.919,1170.126,4486.957,5902.678,9127.775,4205.212,2593.597,5023.068,813.739,1574.333,980.613,1025.053,7622.159,1462.729,17833.419,6321.578,669.512,10730.268,3252.735,2683.528,11782.752,977.341,3342.758,696.034,4738.708,16561.113,1662.834,534.066,5811.7,4452.72,1882.35,4755.618,495.633
1987-01-01,4015.264,539.309,3437.103,2342.355,27777.158,3260.48,3247.291,636.93,636.947,11997.283,6208.467,1067.918,984.997,11391.178,5473.012,2767.011,2445.367,3683.329,4344.148,1184.574,4565.557,5935.204,9187.481,4235.136,2588.545,5056.696,805.063,1566.547,1023.376,1054.289,7670.742,1478.52,17868.848,6403.7,661.136,10760.09,3210.122,2700.991,11810.866,989.604,3380.506,696.036,4782.927,16621.791,1678.119,540.267,5932.268,4531.901,1857.585,4777.919,476.965
1988-01-01,4023.844,541.983,3535.183,2342.656,28464.249,3262.281,3271.953,630.432,647.622,12306.395,6316.142,1079.828,985.664,11390.183,5491.735,2768.388,2461.996,3679.999,4288.863,1203.84,4657.904,5979.982,9217.998,4296.166,2580.352,5081.736,800.202,1571.477,1075.022,1082.577,7712.333,1490.337,17941.309,6480.594,655.331,10798.552,3167.057,2741.297,11845.752,996.408,3412.096,698.165,4822.437,16667.022,1689.372,549.763,6036.909,4639.893,1830.215,4822.388,465.101
1989-01-01,4030.222,547.159,3622.185,2346.358,29218.164,3275.818,3283.403,624.168,658.273,12637.715,6411.099,1094.588,994.416,11409.782,5523.693,2770.592,2472.849,3677.306,4252.894,1219.961,4727.301,6015.478,9253.295,4338.057,2574.269,5095.83,799.636,1574.864,1137.382,1104.522,7726.089,1503.901,17983.086,6565.459,646.351,10829.217,3150.307,2790.575,11865.996,1000.666,3456.775,696.701,4854.444,16806.735,1705.864,557.707,6120.246,4746.316,1806.568,4856.574,458.374
1990-01-01,4048.508,553.12,3679.056,2354.343,29950.111,3303.862,3289.056,603.814,669.063,13018.365,6506.531,1112.703,1011.882,11446.979,5555.097,2779.769,2480.683,3692.584,4219.179,1231.296,4797.431,6018.664,9310.462,4387.283,2577.426,5126.37,799.824,1580.664,1218.629,1111.831,7757.158,1519.933,18002.855,6656.987,637.364,10861.837,3147.105,2858.547,11895.604,1004.649,3499.064,696.667,4890.626,17044.714,1729.722,564.526,6213.526,4900.78,1792.481,4902.265,453.401
1991-01-01,4091.025,569.273,3762.394,2370.666,30414.114,3367.567,3288.64,593.239,680.495,13289.497,6621.279,1131.412,1038.915,11535.973,5602.062,2791.227,2495.209,3714.686,4240.95,1235.439,4856.176,5998.652,9395.022,4427.429,2591.23,5157.77,807.837,1590.805,1285.046,1107.055,7784.269,1547.115,18029.532,6748.135,634.199,10933.683,3166.471,2918.745,11943.16,1003.99,3559.47,701.445,4946.886,17339.904,1771.941,567.141,6283.853,5013.443,1798.212,4952.675,457.739
1992-01-01,4139.269,587.073,3867.333,2394.098,30875.92,3459.995,3274.997,584.183,690.158,13504.775,6759.474,1149.926,1066.49,11635.197,5648.649,2806.923,2526.042,3756.358,4270.849,1235.748,4902.545,5993.474,9470.323,4471.503,2610.193,5193.686,822.436,1602.406,1330.694,1112.766,7827.77,1580.75,18082.032,6831.85,635.427,11007.609,3204.174,2973.934,11980.819,1000.571,3600.576,708.698,5013.999,17650.479,1821.498,570.115,6383.315,5139.011,1805.462,5004.636,463.491
1993-01-01,4193.114,596.993,3993.39,2423.743,31147.208,3560.884,3272.325,576.358,699.475,13713.593,6894.092,1161.508,1101.204,11725.984,5701.965,2820.525,2547.605,3792.288,4284.749,1238.256,4942.504,6010.884,9529.24,4521.709,2635.574,5237.757,839.876,1612.149,1380.197,1122.191,7874.891,1614.937,18140.894,6947.412,637.229,11070.385,3228.829,3034.49,12022.128,997.852,3634.507,716.258,5085.666,17996.764,1875.993,574.004,6464.795,5247.704,1816.179,5055.318,469.033
1994-01-01,4232.965,600.624,4147.561,2450.605,31317.179,3653.91,3268.346,564.982,708.416,13961.798,7045.9,1173.903,1135.459,11804.986,5745.626,2829.422,2569.118,3823.215,4306.5,1237.687,4985.411,6031.352,9584.481,4566.028,2663.45,5281.206,854.923,1621.551,1456.388,1133.054,7918.796,1653.329,18156.652,7060.959,639.762,11111.451,3246.119,3087.142,12042.545,993.412,3666.456,723.038,5163.016,18338.319,1930.436,578.9,6536.771,5334.896,1818.49,5095.504,474.982
1995-01-01,4262.731,601.345,4306.908,2480.121,31493.525,3738.061,3265.293,551.273,718.265,14185.403,7188.538,1180.49,1165.0,11884.935,5791.819,2840.86,2586.942,3855.248,4327.978,1237.438,5023.65,6062.335,9659.871,4605.445,2690.788,5324.61,868.522,1635.142,1525.777,1145.604,7965.523,1682.417,18150.928,7185.403,641.548,11155.493,3265.547,3141.421,12044.78,989.203,3699.943,728.251,5241.168,18679.706,1976.774,582.827,6601.392,5431.024,1820.56,5137.004,478.447
1996-01-01,4290.403,604.918,4432.308,2504.858,31780.829,3812.716,3267.03,538.273,727.09,14426.911,7332.225,1184.434,1187.706,11953.003,5834.908,2848.473,2598.266,3881.051,4338.763,1241.436,5057.142,6085.393,9739.184,4647.723,2709.925,5367.888,876.656,1647.657,1596.476,1160.768,8009.624,1706.151,18143.805,7307.658,642.858,11187.032,3289.634,3195.087,12038.008,987.858,3738.974,730.699,5313.576,19006.24,2022.253,586.352,6665.491,5509.963,1818.983,5173.828,480.085
