"state","placefp","county","stab","cntyname","placenm","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","placefp","county","State Postal Code","cntyname","Place Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","placefp to county alloc factor","county to placefp alloc factor"
"01","00100","01017","AL","Chambers AL","Abanda CDP, AL",-85.52689,33.093251,192,1,0.005612 
"01","00124","01067","AL","Henry AL","Abbeville city, AL",-85.251914,31.5627,2688,1,0.155358 
"01","00460","01073","AL","Jefferson AL","Adamsville city, AL",-86.956729,33.593552,4522,1,0.006867 
"01","00484","01133","AL","Winston AL","Addison town, AL",-87.178121,34.201511,758,1,0.030959 
"01","00676","01065","AL","Hale AL","Akron town, AL",-87.742279,32.876794,356,1,0.022589 
"01","00820","01117","AL","Shelby AL","Alabaster city, AL",-86.830651,33.228984,30352,1,0.155583 
"01","00988","01095","AL","Marshall AL","Albertville city, AL",-86.20752,34.263441,21160,1,0.22748 
"01","01132","01123","AL","Tallapoosa AL","Alexander City city, AL",-85.944692,32.939044,14875,1,0.357435 
"01","01180","01015","AL","Calhoun AL","Alexandria CDP, AL",-85.881018,33.766266,3917,1,0.033035 
"01","01228","01107","AL","Pickens AL","Aliceville city, AL",-88.154705,33.130545,2486,1,0.125899 
"01","01396","01009","AL","Blount AL","Allgood town, AL",-86.516129,33.905111,622,1,0.010851 
"01","01660","01009","AL","Blount AL","Altoona town, AL",-86.342771,34.022778,30,0.032154,0.000523 
"01","01660","01055","AL","Etowah AL","Altoona town, AL",-86.322138,34.030113,903,0.967845,0.008647 
"01","01708","01039","AL","Covington AL","Andalusia city, AL",-86.480449,31.308174,9015,1,0.238713 
"01","01756","01077","AL","Lauderdale AL","Anderson town, AL",-87.270692,34.916145,282,1,0.003042 
"01","01852","01015","AL","Calhoun AL","Anniston city, AL",-85.817357,33.662483,23106,1,0.194869 
"01","02116","01043","AL","Cullman AL","Arab city, AL",-86.503964,34.298482,27,0.003354,0.000336 
"01","02116","01095","AL","Marshall AL","Arab city, AL",-86.498783,34.328208,8023,0.996646,0.086251 
"01","02260","01083","AL","Limestone AL","Ardmore town, AL",-86.838987,34.984801,1194,1,0.014423 
"01","02320","01073","AL","Jefferson AL","Argo town, AL",-86.527963,33.710423,61,0.014984,0.000093 
"01","02320","01115","AL","St. Clair AL","Argo town, AL",-86.504219,33.69715,4010,0.985016,0.047971 
"01","02428","01045","AL","Dale AL","Ariton town, AL",-85.715708,31.598342,764,1,0.015204 
"01","02500","01133","AL","Winston AL","Arley town, AL",-87.209945,34.085123,357,1,0.014581 
"01","02836","01069","AL","Houston AL","Ashford town, AL",-85.236732,31.18581,2148,1,0.021153 
"01","02860","01027","AL","Clay AL","Ashland town, AL",-85.83561,33.272583,2037,1,0.14621 
"01","02908","01115","AL","St. Clair AL","Ashville city, AL",-86.261207,33.83227,2212,1,0.026462 
"01","02956","01083","AL","Limestone AL","Athens city, AL",-86.963474,34.794333,21897,1,0.264514 
"01","03004","01053","AL","Escambia AL","Atmore city, AL",-87.48054,31.061259,10194,1,0.26603 
"01","03028","01055","AL","Etowah AL","Attalla city, AL",-86.10259,34.004838,6048,1,0.057914 
"01","03076","01081","AL","Lee AL","Auburn city, AL",-85.481852,32.602658,53380,1,0.380614 
"01","03220","01001","AL","Autauga AL","Autaugaville town, AL",-86.658204,32.434943,870,1,0.015943 
"01","03364","01069","AL","Houston AL","Avon town, AL",-85.280129,31.182865,543,1,0.005347 
"01","03508","01097","AL","Mobile AL","Axis CDP, AL",-88.018599,30.924758,757,1,0.001833 
"01","03556","01039","AL","Covington AL","Babbie town, AL",-86.327028,31.302366,603,1,0.015967 
"01","03676","01043","AL","Cullman AL","Baileyton town, AL",-86.609603,34.262076,610,1,0.007586 
"01","03724","01005","AL","Barbour AL","Bakerhill town, AL",-85.291636,31.780046,279,1,0.010161 
"01","03820","01055","AL","Etowah AL","Ballplay CDP, AL",-85.782458,34.010656,1580,1,0.01513 
"01","03940","01109","AL","Pike AL","Banks town, AL",-85.841134,31.815145,179,1,0.005441 
"01","04660","01003","AL","Baldwin AL","Bay Minette city, AL",-87.777006,30.881699,8044,1,0.044134 
"01","04684","01097","AL","Mobile AL","Bayou La Batre city, AL",-88.248118,30.409882,2558,1,0.006194 
"01","04852","01093","AL","Marion AL","Bear Creek town, AL",-87.709448,34.26965,1070,1,0.034767 
"01","04900","01099","AL","Monroe AL","Beatrice town, AL",-87.205656,31.731597,301,1,0.013048 
"01","04948","01075","AL","Lamar AL","Beaverton town, AL",-88.021266,33.931807,201,1,0.013801 
"01","05140","01059","AL","Franklin AL","Belgreen CDP, AL",-87.8656,34.478092,129,1,0.004069 
"01","05164","01057","AL","Fayette AL","Belk town, AL",-87.929093,33.648599,215,1,0.01247 
"01","05188","01119","AL","Sumter AL","Bellamy CDP, AL",-88.130043,32.454111,543,1,0.039454 
"01","05212","01097","AL","Mobile AL","Belle Fontaine CDP, AL",-88.11175,30.494364,608,1,0.001472 
"01","05692","01085","AL","Lowndes AL","Benton town, AL",-86.818111,32.305802,49,1,0.004337 
"01","05932","01057","AL","Fayette AL","Berry town, AL",-87.607214,33.659522,1148,1,0.066585 
"01","05980","01073","AL","Jefferson AL","Bessemer city, AL",-86.959083,33.387801,27456,1,0.041697 
"01","06460","01001","AL","Autauga AL","Billingsley town, AL",-86.709156,32.661938,144,1,0.002639 
"01","07000","01073","AL","Jefferson AL","Birmingham city, AL",-86.802902,33.526057,210609,0.992329,0.319848 
"01","07000","01117","AL","Shelby AL","Birmingham city, AL",-86.697816,33.428959,1628,0.007671,0.008345 
"01","07120","01061","AL","Geneva AL","Black town, AL",-85.745342,31.014647,207,1,0.007727 
"01","07456","01009","AL","Blount AL","Blountsville town, AL",-86.589712,34.08115,1684,1,0.029378 
"01","07588","01051","AL","Elmore AL","Blue Ridge CDP, AL",-86.18627,32.495708,1341,1,0.01691 
"01","07672","01005","AL","Barbour AL","Blue Springs town, AL",-85.500583,31.663474,96,1,0.003496 
"01","07912","01055","AL","Etowah AL","Boaz city, AL",-86.153327,34.167253,1109,0.116113,0.01062 
"01","07912","01095","AL","Marshall AL","Boaz city, AL",-86.160616,34.206889,8442,0.883886,0.090756 
"01","08104","01063","AL","Greene AL","Boligee town, AL",-88.031086,32.767357,328,1,0.036263 
"01","08248","01121","AL","Talladega AL","Bon Air town, AL",-86.333408,33.262322,116,1,0.00141 
"01","08680","01131","AL","Wilcox AL","Boykin CDP, AL",-87.289018,32.069984,275,1,0.023565 
"01","09016","01041","AL","Crenshaw AL","Brantley town, AL",-86.25647,31.586665,809,1,0.058176 
"01","09064","01117","AL","Shelby AL","Brantleyville CDP, AL",-86.876286,33.22104,884,1,0.004531 
"01","09136","01007","AL","Bibb AL","Brent city, AL",-87.169385,32.937075,4947,1,0.215885 
"01","09208","01053","AL","Escambia AL","Brewton city, AL",-87.070409,31.123068,5408,1,0.141131 
"01","09328","01071","AL","Jackson AL","Bridgeport city, AL",-85.719447,34.946218,2418,1,0.045428 
"01","09400","01073","AL","Jefferson AL","Brighton city, AL",-86.943883,33.439258,2945,1,0.004473 
"01","09424","01093","AL","Marion AL","Brilliant town, AL",-87.763818,34.023188,900,1,0.029244 
"01","09457","01055","AL","Etowah AL","Bristow Cove CDP, AL",-86.232988,34.112364,683,1,0.00654 
"01","09500","01117","AL","Shelby AL","Brook Highland CDP, AL",-86.687334,33.434114,6746,1,0.03458 
"01","09736","01073","AL","Jefferson AL","Brookside town, AL",-86.911033,33.628828,1363,1,0.00207 
"01","09808","01125","AL","Tuscaloosa AL","Brookwood town, AL",-87.322132,33.236991,1828,1,0.009391 
"01","09880","01019","AL","Cherokee AL","Broomtown CDP, AL",-85.538221,34.363929,182,1,0.007003 
"01","10240","01109","AL","Pike AL","Brundidge city, AL",-85.818175,31.72333,2076,1,0.063102 
"01","10456","01097","AL","Mobile AL","Bucks CDP, AL",-88.025376,31.013974,32,1,0.000077 
"01","11032","01023","AL","Choctaw AL","Butler town, AL",-88.217694,32.09299,1894,1,0.136662 
"01","11416","01021","AL","Chilton AL","Calera city, AL",-86.753198,33.066126,96,0.008262,0.0022 
"01","11416","01117","AL","Shelby AL","Calera city, AL",-86.753161,33.132339,11524,0.991738,0.059072 
"01","11488","01097","AL","Mobile AL","Calvert CDP, AL",-88.007869,31.151833,109,0.393502,0.000264 
"01","11488","01129","AL","Washington AL","Calvert CDP, AL",-88.018868,31.159598,168,0.606498,0.009556 
"01","11512","01131","AL","Wilcox AL","Camden city, AL",-87.302697,32.001699,2020,1,0.173093 
"01","11680","01123","AL","Tallapoosa AL","Camp Hill town, AL",-85.650942,32.800793,1014,1,0.024366 
"01","12016","01127","AL","Walker AL","Carbon Hill city, AL",-87.521622,33.892999,2021,1,0.030154 
"01","12040","01073","AL","Jefferson AL","Cardiff town, AL",-86.932299,33.647037,55,1,0.000084 
"01","12070","01055","AL","Etowah AL","Carlisle-Rockledge CDP, AL",-86.119159,34.111591,2137,1,0.020463 
"01","12112","01025","AL","Clarke AL","Carlton CDP, AL",-87.847468,31.342927,65,1,0.002516 
"01","12160","01039","AL","Covington AL","Carolina town, AL",-86.521869,31.234192,297,1,0.007864 
"01","12304","01107","AL","Pickens AL","Carrollton town, AL",-88.095978,33.261686,1019,1,0.051605 
"01","12496","01035","AL","Conecuh AL","Castleberry town, AL",-87.026037,31.298629,583,1,0.044073 
"01","12544","01131","AL","Wilcox AL","Catherine CDP, AL",-87.470493,32.181504,22,1,0.001885 
"01","12760","01019","AL","Cherokee AL","Cedar Bluff town, AL",-85.589407,34.220936,1820,1,0.07003 
"01","13264","01073","AL","Jefferson AL","Center Point city, AL",-86.683283,33.64207,16921,1,0.025698 
"01","13648","01019","AL","Cherokee AL","Centre city, AL",-85.670419,34.154992,3489,1,0.134249 
"01","13672","01007","AL","Bibb AL","Centreville city, AL",-87.136064,32.952656,2778,1,0.121231 
"01","14008","01129","AL","Washington AL","Chatom town, AL",-88.250917,31.464748,1288,1,0.073261 
"01","14104","01117","AL","Shelby AL","Chelsea city, AL",-86.638088,33.332231,10183,1,0.052198 
"01","14152","01033","AL","Colbert AL","Cherokee town, AL",-87.965216,34.759828,1048,1,0.019255 
"01","14392","01097","AL","Mobile AL","Chickasaw city, AL",-88.085368,30.767124,6106,1,0.014785 
"01","14464","01121","AL","Talladega AL","Childersburg city, AL",-86.353536,33.277622,5175,1,0.062887 
"01","14728","01015","AL","Calhoun AL","Choccolocco CDP, AL",-85.714739,33.671587,2804,1,0.023648 
"01","14968","01097","AL","Mobile AL","Chunchula CDP, AL",-88.20554,30.923178,210,1,0.000508 
"01","15064","01097","AL","Mobile AL","Citronelle city, AL",-88.243409,31.092147,3905,1,0.009455 
"01","15136","01021","AL","Chilton AL","Clanton city, AL",-86.629631,32.843006,8619,1,0.197489 
"01","15256","01073","AL","Jefferson AL","Clay city, AL",-86.616609,33.688253,9708,1,0.014743 
"01","15304","01045","AL","Dale AL","Clayhatchee town, AL",-85.713243,31.242679,589,1,0.011721 
"01","15376","01005","AL","Barbour AL","Clayton town, AL",-85.476938,31.884554,3008,1,0.109553 
"01","15472","01009","AL","Blount AL","Cleveland town, AL",-86.575526,33.9983,1303,1,0.022731 
"01","15640","01005","AL","Barbour AL","Clio city, AL",-85.619055,31.710727,1399,1,0.050952 
"01","16000","01125","AL","Tuscaloosa AL","Coaling town, AL",-87.350588,33.166641,1657,1,0.008512 
